2026-08-30T04:00:12.434134449Z INFO:     Started server process [1]
2026-08-30T04:00:19.540606734Z INFO:     127.0.0.1:50996 - "GET /health HTTP/1.1" 200 OK
2026-08-30T04:00:12.434169050Z INFO:     Waiting for application startup.
2026-08-30T04:00:12.528836592Z INFO:     Application startup complete.
2026-08-30T04:00:12.529405408Z INFO:     Uvicorn running on http://0.0.0.0:8102 (Press CTRL+C to quit)
2026-08-30T04:00:25.602270572Z INFO:     172.18.0.1:47446 - "GET /ready HTTP/1.1" 200 OK
2026-08-30T04:00:29.860775198Z INFO:     127.0.0.1:54410 - "GET /health HTTP/1.1" 200 OK
2026-08-30T04:00:40.167494547Z INFO:     127.0.0.1:39920 - "GET /health HTTP/1.1" 200 OK
2026-08-30T04:00:50.508011536Z INFO:     127.0.0.1:49422 - "GET /health HTTP/1.1" 200 OK
2026-08-30T04:00:51.610349715Z INFO:     172.18.0.1:57556 - "POST /invoke HTTP/1.1" 200 OK
2026-08-30T04:01:00.823811914Z INFO:     127.0.0.1:44142 - "GET /health HTTP/1.1" 200 OK
2026-08-30T04:01:11.167098282Z INFO:     127.0.0.1:41868 - "GET /health HTTP/1.1" 200 OK
2026-08-30T04:01:21.517254863Z INFO:     127.0.0.1:57934 - "GET /health HTTP/1.1" 200 OK
2026-08-30T04:01:31.854714834Z INFO:     127.0.0.1:40454 - "GET /health HTTP/1.1" 200 OK
2026-08-30T04:01:42.176084541Z INFO:     127.0.0.1:55024 - "GET /health HTTP/1.1" 200 OK
2026-08-30T04:01:52.526223379Z INFO:     127.0.0.1:41918 - "GET /health HTTP/1.1" 200 OK
