2026-08-30T04:00:11.247854507Z INFO:     Started server process [1]
2026-08-30T04:00:19.553544817Z INFO:     127.0.0.1:42006 - "GET /health HTTP/1.1" 200 OK
2026-08-30T04:00:11.247921609Z INFO:     Waiting for application startup.
2026-08-30T04:00:11.392877453Z INFO:     Application startup complete.
2026-08-30T04:00:11.393543872Z INFO:     Uvicorn running on http://0.0.0.0:8101 (Press CTRL+C to quit)
2026-08-30T04:00:25.593706739Z INFO:     172.18.0.1:36358 - "GET /ready HTTP/1.1" 200 OK
2026-08-30T04:00:29.859094593Z INFO:     127.0.0.1:44790 - "GET /health HTTP/1.1" 200 OK
2026-08-30T04:00:40.176807386Z INFO:     127.0.0.1:34834 - "GET /health HTTP/1.1" 200 OK
2026-08-30T04:00:50.501577134Z INFO:     127.0.0.1:47250 - "GET /health HTTP/1.1" 200 OK
2026-08-30T04:00:50.778558120Z INFO:     172.18.0.1:47926 - "POST /invoke HTTP/1.1" 200 OK
2026-08-30T04:01:00.828923462Z INFO:     127.0.0.1:41450 - "GET /health HTTP/1.1" 200 OK
2026-08-30T04:01:11.142408655Z INFO:     127.0.0.1:32934 - "GET /health HTTP/1.1" 200 OK
2026-08-30T04:01:21.516836418Z INFO:     127.0.0.1:40462 - "GET /health HTTP/1.1" 200 OK
2026-08-30T04:01:31.826398477Z INFO:     127.0.0.1:53684 - "GET /health HTTP/1.1" 200 OK
2026-08-30T04:01:42.180361295Z INFO:     127.0.0.1:57732 - "GET /health HTTP/1.1" 200 OK
2026-08-30T04:01:52.535067777Z INFO:     127.0.0.1:47980 - "GET /health HTTP/1.1" 200 OK
