2026-08-30T03:59:59.883953191Z INFO:     Started server process [1]
2026-08-30T04:00:08.706464295Z INFO:     127.0.0.1:54728 - "GET /health HTTP/1.1" 200 OK
2026-08-30T04:00:11.371706362Z INFO:     172.18.0.6:55564 - "PUT /registry/agents/langgraph-copilot HTTP/1.1" 200 OK
2026-08-30T03:59:59.883993993Z INFO:     Waiting for application startup.
2026-08-30T04:00:00.021558039Z INFO:     Application startup complete.
2026-08-30T04:00:00.021802351Z INFO:     Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
2026-08-30T04:00:11.391421813Z INFO:     172.18.0.6:55564 - "POST /registry/agents/langgraph-copilot/heartbeat HTTP/1.1" 200 OK
2026-08-30T04:00:11.396980368Z INFO:     172.18.0.6:55564 - "POST /registry/agents/langgraph-copilot/heartbeat HTTP/1.1" 200 OK
2026-08-30T04:00:11.424127125Z INFO:     172.18.0.6:55564 - "GET /workers/langgraph-copilot/assignments?limit=20 HTTP/1.1" 200 OK
2026-08-30T04:00:12.511760315Z INFO:     172.18.0.5:50792 - "PUT /registry/agents/googleADK-Chatagent HTTP/1.1" 200 OK
2026-08-30T04:00:12.527576857Z INFO:     172.18.0.5:50792 - "POST /registry/agents/googleADK-Chatagent/heartbeat HTTP/1.1" 200 OK
2026-08-30T04:00:12.532096183Z INFO:     172.18.0.5:50792 - "POST /registry/agents/googleADK-Chatagent/heartbeat HTTP/1.1" 200 OK
2026-08-30T04:00:12.549308663Z INFO:     172.18.0.5:50792 - "GET /workers/googleADK-Chatagent/assignments?limit=20 HTTP/1.1" 200 OK
2026-08-30T04:00:13.456409573Z INFO:     172.18.0.6:55564 - "GET /workers/langgraph-copilot/assignments?limit=20 HTTP/1.1" 200 OK
2026-08-30T04:00:14.564139393Z INFO:     172.18.0.5:50792 - "GET /workers/googleADK-Chatagent/assignments?limit=20 HTTP/1.1" 200 OK
2026-08-30T04:00:15.471577619Z INFO:     172.18.0.6:55564 - "GET /workers/langgraph-copilot/assignments?limit=20 HTTP/1.1" 200 OK
2026-08-30T04:00:16.586859418Z INFO:     172.18.0.5:50792 - "GET /workers/googleADK-Chatagent/assignments?limit=20 HTTP/1.1" 200 OK
2026-08-30T04:00:17.486109875Z INFO:     172.18.0.6:55564 - "GET /workers/langgraph-copilot/assignments?limit=20 HTTP/1.1" 200 OK
2026-08-30T04:00:18.602155009Z INFO:     172.18.0.5:50792 - "GET /workers/googleADK-Chatagent/assignments?limit=20 HTTP/1.1" 200 OK
2026-08-30T04:00:19.023379407Z INFO:     127.0.0.1:56778 - "GET /health HTTP/1.1" 200 OK
2026-08-30T04:00:19.503840976Z INFO:     172.18.0.6:55564 - "GET /workers/langgraph-copilot/assignments?limit=20 HTTP/1.1" 200 OK
2026-08-30T04:00:20.617015780Z INFO:     172.18.0.5:50792 - "GET /workers/googleADK-Chatagent/assignments?limit=20 HTTP/1.1" 200 OK
2026-08-30T04:00:21.520557031Z INFO:     172.18.0.6:55564 - "GET /workers/langgraph-copilot/assignments?limit=20 HTTP/1.1" 200 OK
2026-08-30T04:00:22.635854728Z INFO:     172.18.0.5:50792 - "GET /workers/googleADK-Chatagent/assignments?limit=20 HTTP/1.1" 200 OK
2026-08-30T04:00:23.537986851Z INFO:     172.18.0.6:55564 - "GET /workers/langgraph-copilot/assignments?limit=20 HTTP/1.1" 200 OK
2026-08-30T04:00:24.651419518Z INFO:     172.18.0.5:50792 - "GET /workers/googleADK-Chatagent/assignments?limit=20 HTTP/1.1" 200 OK
2026-08-30T04:00:25.473216343Z INFO:     172.18.0.1:39072 - "GET /health HTTP/1.1" 200 OK
2026-08-30T04:00:25.564776239Z INFO:     172.18.0.6:55564 - "GET /workers/langgraph-copilot/assignments?limit=20 HTTP/1.1" 200 OK
2026-08-30T04:00:26.675958067Z INFO:     172.18.0.5:50792 - "GET /workers/googleADK-Chatagent/assignments?limit=20 HTTP/1.1" 200 OK
2026-08-30T04:00:27.579372569Z INFO:     172.18.0.6:55564 - "GET /workers/langgraph-copilot/assignments?limit=20 HTTP/1.1" 200 OK
2026-08-30T04:00:28.691129333Z INFO:     172.18.0.5:50792 - "GET /workers/googleADK-Chatagent/assignments?limit=20 HTTP/1.1" 200 OK
